"Giroscópio","Acelerômetro angulo"
X=-0.859131,X=-7.700978
Y=-0.135986,Y=57.843910
Z=-0.522705, 
X=-0.829834,X=-4.887730
Y=-0.085449,Y=55.837497
Z=-0.556641, 
X=-0.809326,X=-5.680245
Y=-0.098633,Y=54.306290
Z=-0.572998, 
X=-0.797363,X=-4.898782
Y=-0.085938,Y=52.404420
Z=-0.607910, 
X=-0.759766,X=-4.281243
Y=-0.097412,Y=35.608976
Z=1.056396, 
X=-0.041504,X=-0.133669
Y=-0.002197,Y=2.525674
Z=0.940918, 
X=0.157959,X=-0.453529
Y=-0.007080,Y=-10.171636
Z=0.880371, 
X=-0.003418,X=-2.309414
Y=-0.037109,Y=0.212652
Z=0.920166, 
X=0.031738,X=-3.230387
Y=-0.053467,Y=-1.916923
Z=0.946777, 
X=0.066650,X=-2.136869
Y=-0.034424,Y=-4.139984
Z=0.920166, 
X=0.062744,X=-1.795231
Y=-0.029053,Y=-3.879424
Z=0.924805, 
X=0.047852,X=-1.510587
Y=-0.024414,Y=-2.961727
Z=0.924561, 
X=0.064697,X=-2.223831
Y=-0.036133,Y=-3.984069
Z=0.928223, 
X=0.065674,X=-1.365895
Y=-0.022217,Y=-4.040612
Z=0.929443, 
X=0.058838,X=-2.049893
Y=-0.033691,Y=-3.581454
Z=0.939453, 
X=0.064697,X=-1.751943
Y=-0.028564,Y=-3.970636
Z=0.931641, 
X=0.075195,X=-1.118698
Y=-0.018066,Y=-4.661047
Z=0.922119, 
X=-0.031250,X=-16.711270
Y=-0.241699,Y=2.130636
Z=0.804443, 
X=0.001465,X=-44.057917
Y=-0.715576,Y=-0.081561
Z=-0.739502, 
X=0.203857,X=-17.944063
Y=-0.335693,Y=-10.783221
Z=-1.016357, 
X=0.245605,X=-13.785130
Y=-0.267090,Y=-12.657020
Z=-1.060547, 
X=0.270996,X=-12.859225
Y=-0.243408,Y=-14.346237
Z=-1.031250, 
X=0.258301,X=-12.229870
Y=-0.232178,Y=-13.631030
Z=-1.039551, 
X=0.257324,X=-11.984063
Y=-0.229736,Y=-13.448662
Z=-1.051270, 
X=0.262207,X=-11.389640
Y=-0.220459,Y=-13.584352
Z=-1.062500, 
X=0.279785,X=-11.015227
Y=-0.212402,Y=-14.577252
Z=-1.054688, 
X=0.279297,X=-11.545218
Y=-0.220703,Y=-14.671458
Z=-1.043701, 
X=0.275391,X=-11.217530
Y=-0.214355,Y=-14.473123
Z=-1.045166, 
X=0.260742,X=-11.111514
Y=-0.214355,Y=-13.557658
Z=-1.059814, 
X=0.270264,X=-10.710892
Y=-0.203613,Y=-14.281747
Z=-1.041992, 
X=0.273193,X=-10.774664
Y=-0.206299,Y=-14.333551
Z=-1.049072, 
X=0.255371,X=-11.229170
Y=-0.213135,Y=-13.492825
Z=-1.042725, 
X=-0.243652,X=-72.447950
Y=-1.022949,Y=13.126221
Z=0.212891, 
X=-0.458740,X=-10.289889
Y=-0.168701,Y=29.060662
Z=0.808105, 
X=-0.091309,X=-0.406090
Y=-0.006592,Y=5.634125
Z=0.925537, 
X=0.366699,X=-27.016119
Y=-0.551270,Y=-17.587196
Z=1.017090, 
X=0.162354,X=4.968750
Y=0.079834,Y=-10.144909
Z=0.903809, 
X=0.100342,X=7.243205
Y=0.117920,Y=-6.158923
Z=0.922363, 
X=0.103027,X=6.857495
Y=0.109863,Y=-6.428946
Z=0.907715, 
X=0.085693,X=6.777601
Y=0.110352,Y=-5.258249
Z=0.924561, 
X=0.074219,X=7.179182
Y=0.114258,Y=-4.656331
Z=0.904053, 
X=0.071289,X=6.903613
Y=0.110596,Y=-4.443705
Z=0.910645, 
X=0.067871,X=6.423049
Y=0.103760,Y=-4.196386
Z=0.919189, 
X=0.055664,X=7.525799
Y=0.122559,Y=-3.410285
Z=0.926025, 
X=0.074707,X=6.972235
Y=0.112305,Y=-4.631657
Z=0.915283, 
X=0.065674,X=7.213223
Y=0.117188,Y=-4.035075
Z=0.923584, 
X=0.049805,X=7.290283
Y=0.116455,Y=-3.110979
Z=0.908936, 
X=0.046875,X=6.913798
Y=0.113525,Y=-2.848981
Z=0.935059, 
X=0.059570,X=7.030039
Y=0.113770,Y=-3.674253
Z=0.920654, 
X=0.041504,X=7.089612
Y=0.114014,Y=-2.575087
Z=0.915771, 
X=0.014648,X=-1.521530
Y=-0.023926,Y=-0.931481
Z=0.900635, 
X=-0.785889,X=-29.018310
Y=-0.457275,Y=56.479702
Z=0.248779, 
X=-0.831787,X=-28.345430
Y=-0.452637,Y=60.749301
Z=0.110107, 
